Name,pslist,pstree,psxview,dlllist,handles,ldrmodules,svcscan,cmdline,Category
physmem.raw,proforma invoice and bank swift-reg.pi-0086547654.exe @WanaDecryptor.exe                                                                                                   @WanaDecryptor.exe                                                                                                   taskhsvc.exe                                                                                                        taskse.exe                                                                                                                     cmd.exe             ,The parent process is proforma invoice and bank swift-reg.pi-0086547654.exe                                                                 The child process of proforma invoice and bank swift-reg.pi-0086547654.exe is @WannaDecryptor.exe                                                                                                                                                                                                                             The child process of proforma invoice and bank swift-reg.pi-0086547654.exe is taskse.exe                                                                                                                                                                                        The child process of  process is proforma invoice and bank swift-reg.pi-0086547654.exe is taskhsvc.exe                                                                                                                                                                                                                        The parent process is cmd.exe                                                                                                                                                                               The child process of cmd.exe is taskhsvc.exe  ,proforma invoice and bank swift-reg.pi-0086547654.exe @WanaDecryptor.exe                                                                                                   @WanaDecryptor.exe                                                                                                   taskhsvc.exe                                                                                                        taskse.exe    ,ADVAPI32.dll            KERNEL32.dll            MSVCRT.dll                     USER32.dll    ,proforma invoice and bank swift-reg.pi-0086547654.exe @WanaDecryptor.exe                                                                                                   @WanaDecryptor.exe                                                                                                   taskhsvc.exe                                                                                                        taskse.exe       ,ADVAPI32.dll            KERNEL32.dll            MSVCRT.dll                     USER32.dll  ,vssvc.exe                               wbengine.exe  ,"proforma invoice and bank swift-reg.pi-0086547654.exe executed the Command line : ""C:\Users\User\Downloads\Proforma Invoice and Bank swift-REG.PI-0086547654.exe""                                                                                 @WanaDecryptor executed the Commnad line : @WanaDecryptor@.exe co                                                         
taskhsvc.exe executed the Command line : TaskData\Tor\taskhsvc.exe                                                                                                                                                                      
conhost.exe executed the Command line :   \??\C:\Windows\system32\conhost.exe 0x4                                                                                                   \??\C:                       
@WanaDecryptor executed the Command line : @WanaDecryptor@.exe                                                                              ",Fileless
physmem2.raw,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe                                                                                         ,The parent process is System                                                                                                                                             The child process of System is smss.exe                                                                                                                                                                                                                                                                                    The parent process is smss.exe                                                                                                                                                                          The child process of  smss.exe is wininit.exe                                                                                                          The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is RuntimeBroker.exe                                                                              The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is taskhostw.exe                                                                                                              The parent process is smsss.exe                                                                                                                                                                        The child process of smss.exe is winlogon.exe                                                                                                    The parent process is smss.exe                                                                                                                                       The child process of smss.exe is csrss.exe                                                                                                                 The parent process is service.exe                                                                                                                                   The child process of service.exe is svchost.exe                                                                                                                                                                                                           The parent process is wininit.exe                                                                                                                                       The child process of wininit.exe is lsass.exe                                                                                                               The parent process is userinit.exe                                                                                                                                    The child process of userinit.exe is explorer.exe                                                                                                                                                                                                                                                                                                                                                               ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe     ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,SamSs                                                Keylso                                                 VaultSvc                                             Eventlog                                                  Task Scheduler,smss.exe executed the Command line :  \SystemRoot\smss.exe                                                                      wininit.exe executed the Command line : wininit.exe                                                                                                 RuntimeBroker executed the Command line : C:\Windows\System32\RuntimeBroker.exe -Embedding                                                                                                                                                                                                         taskhostwexe executed the Command line : taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}                                                                                                                                                                                   winlogon.exe executed the Command line : winlogon.exe                                                                                          csrss.exe executed the Command line : %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024                                                                                                             services.exe executed the Command line : C:\Windows\system32\services.exe                                 svchost.exe executed the Command line : C:\Windows\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                       lsass.exe executed the Command line : C:\Windows\system32\lsass.exe                                                        explorer.exe executed the Command line : C:\Windows\Explorer.EXE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,Benign
physmem3.raw,proforma invoice and bank swift-reg.pi-0086547654.exe @WanaDecryptor.exe                                                                                                   @WanaDecryptor.exe                                                                                                   taskhsvc.exe                                                                                                        taskse.exe                                                                                                                     cmd.exe  ,The parent process is proforma invoice and bank swift-reg.pi-0086547654.exe                                                                 The child process of proforma invoice and bank swift-reg.pi-0086547654.exe is @WannaDecryptor.exe                                                                                                                                                                                                                             The child process of proforma invoice and bank swift-reg.pi-0086547654.exe is taskse.exe                                                                                                                                                                                        The child process of  process is proforma invoice and bank swift-reg.pi-0086547654.exe is taskhsvc.exe                                                                                                                                                                                                                        The parent process is cmd.exe                                                                                                                                                                               The child process of cmd.exe is taskhsvc.exe  ,proforma invoice and bank swift-reg.pi-0086547654.exe @WanaDecryptor.exe                                                                                                   @WanaDecryptor.exe                                                                                                   taskhsvc.exe                                                                                                        taskse.exe    ,ADVAPI32.dll            KERNEL32.dll            MSVCRT.dll                     USER32.dll      ,proforma invoice and bank swift-reg.pi-0086547654.exe @WanaDecryptor.exe                                                                                                   @WanaDecryptor.exe                                                                                                   taskhsvc.exe                                                                                                        taskse.exe     ,ADVAPI32.dll            KERNEL32.dll            MSVCRT.dll                     USER32.dll  ,vssvc.exe                               wbengine.exe  ,"proforma invoice and bank swift-reg.pi-0086547654.exe executed the Command line : ""C:\Users\User\Downloads\Proforma Invoice and Bank swift-REG.PI-0086547654.exe""                                                                                 @WanaDecryptor executed the Commnad line : @WanaDecryptor@.exe co                                                         
taskhsvc.exe executed the Command line : TaskData\Tor\taskhsvc.exe                                                                                                                                                                      
conhost.exe executed the Command line :   \??\C:\Windows\system32\conhost.exe 0x4                                                                                                   \??\C:                       
@WanaDecryptor executed the Command line : @WanaDecryptor@.exe         ",Fileless
physmem4.raw,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe         ,The parent process is System                                                                                                                                             The child process of System is smss.exe                                                                                                                                                                                                                                                                                    The parent process is smss.exe                                                                                                                                                                          The child process of  smss.exe is wininit.exe                                                                                                          The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is RuntimeBroker.exe                                                                              The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is taskhostw.exe                                                                                                              The parent process is smsss.exe                                                                                                                                                                        The child process of smss.exe is winlogon.exe                                                                                                    The parent process is smss.exe                                                                                                                                       The child process of smss.exe is csrss.exe                                                                                                                 The parent process is service.exe                                                                                                                                   The child process of service.exe is svchost.exe                                                                                                                                                                                                             The parent process is wininit.exe                                                                                                                                       The child process of wininit.exe is lsass.exe                                                                                                               The parent process is userinit.exe                                                                                                                                    The child process of userinit.exe is explorer.exe          ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe     ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll         ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,SamSs                                                Keylso                                                 VaultSvc                                             Eventlog                                                  Task Scheduler,smss.exe executed the Command line :  \SystemRoot\smss.exe                                                                      wininit.exe executed the Command line : wininit.exe                                                                                                 RuntimeBroker executed the Command line : C:\Windows\System32\RuntimeBroker.exe -Embedding                                                                                                                                                                                                         taskhostwexe executed the Command line : taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}                                                                                                                                                                                   winlogon.exe executed the Command line : winlogon.exe                                                                                          csrss.exe executed the Command line : %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024                                                                                                             services.exe executed the Command line : C:\Windows\system32\services.exe                                 svchost.exe executed the Command line : C:\Windows\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                       lsass.exe executed the Command line : C:\Windows\system32\lsass.exe                                                        explorer.exe executed the Command line : C:\Windows\Explorer.EXE    ,Benign
physmem5.raw,mshta.exe                                                                                                            regsvr32.exe                                                                                                        regsvr32.exe    ,The parent process is regsvr32.exe                                                                                                                                                             The child process of regsvr32.exe is regsvr32.exe        ,mshta.exe                                                                                                            regsvr32.exe                                                                            regsvr32.exe  ,ADVAPI32.dll              COMCTL32.dll            GDI32.dll                          KERNEL32.dll              OLEAUT32.dll              SHELL32.dll                       USER32.dll                       VERSION.dll                        WININET.dll                  WINMM.dll                            WS2_32.dll                    comdlg32.dll               urlmon.dll ,regsvr32.exe                                                                                                                               regsvr32.exe  ,ADVAPI32.dll              COMCTL32.dll            GDI32.dll                          KERNEL32.dll              OLEAUT32.dll              SHELL32.dll                       USER32.dll                       VERSION.dll                        WININET.dll                  WINMM.dll                            WS2_32.dll                    comdlg32.dll               urlmon.dll ,No unique services,"regsvr32.exe executed the Command line : regsvr32.exe                                                                                                    regsvr32.exe executed the Command line : ""C:\Windows\SysWOW64\regsvr32.exe""      ",Fileless
physmem6.raw,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe  ,The parent process is System                                                                                                                                             The child process of System is smss.exe                                                                                                                                                                                                                                                                                    The parent process is smss.exe                                                                                                                                                                          The child process of  smss.exe is wininit.exe                                                                                                          The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is RuntimeBroker.exe                                                                              The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is taskhostw.exe                                                                                                              The parent process is smsss.exe                                                                                                                                                                        The child process of smss.exe is winlogon.exe                                                                                                    The parent process is smss.exe                                                                                                                                       The child process of smss.exe is csrss.exe                                                                                                                 The parent process is service.exe                                                                                                                                   The child process of service.exe is svchost.exe                                                                                                                                                                                                           The parent process is wininit.exe                                                                                                                                       The child process of wininit.exe is lsass.exe                                                                                                               The parent process is userinit.exe                                                                                                                                    The child process of userinit.exe is explorer.exe   ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe     ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,SamSs                                                Keylso                                                 VaultSvc                                             Eventlog                                                  Task Scheduler,smss.exe executed the Command line :  \SystemRoot\smss.exe                                                                      wininit.exe executed the Command line : wininit.exe                                                                                                 RuntimeBroker executed the Command line : C:\Windows\System32\RuntimeBroker.exe -Embedding                                                                                                                                                                                                         taskhostwexe executed the Command line : taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}                                                                                                                                                                                   winlogon.exe executed the Command line : winlogon.exe                                                                                          csrss.exe executed the Command line : %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024                                                                                                             services.exe executed the Command line : C:\Windows\system32\services.exe                                 svchost.exe executed the Command line : C:\Windows\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                       lsass.exe executed the Command line : C:\Windows\system32\lsass.exe                                                        explorer.exe executed the Command line : C:\Windows\Explorer.EXE    ,Benign
physmem7.raw,regsvr32.exe                                                                                                        regsvr32.exe   ,The parent process is regsvr32.exe                                                                                                                                                             The child process of regsvr32.exe is regsvr32.exe        ,regsvr32.exe   ,ADVAPI32.dll              COMCTL32.dll            GDI32.dll                          KERNEL32.dll              OLEAUT32.dll              SHELL32.dll                       USER32.dll                       VERSION.dll                        WININET.dll                  WINMM.dll                            WS2_32.dll                    comdlg32.dll               urlmon.dll ,regsvr32.exe                                                                                                                               regsvr32.exe  ,ADVAPI32.dll              COMCTL32.dll            GDI32.dll                          KERNEL32.dll              OLEAUT32.dll              SHELL32.dll                       USER32.dll                       VERSION.dll                        WININET.dll                  WINMM.dll                            WS2_32.dll                    comdlg32.dll               urlmon.dll ,No unique services,"regsvr32.exe executed the Command line : regsvr32.exe                                                                                                    regsvr32.exe executed the Command line : ""C:\Windows\SysWOW64\regsvr32.exe""      ",Fileless
physmem8.raw,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe  ,The parent process is System                                                                                                                                             The child process of System is smss.exe                                                                                                                                                                                                                                                                                    The parent process is smss.exe                                                                                                                                                                          The child process of  smss.exe is wininit.exe                                                                                                          The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is RuntimeBroker.exe                                                                              The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is taskhostw.exe                                                                                                              The parent process is smsss.exe                                                                                                                                                                        The child process of smss.exe is winlogon.exe                                                                                                    The parent process is smss.exe                                                                                                                                       The child process of smss.exe is csrss.exe                                                                                                                 The parent process is service.exe                                                                                                                                   The child process of service.exe is svchost.exe                                                                                                                                                                                                          The parent process is wininit.exe                                                                                                                                       The child process of wininit.exe is lsass.exe                                                                                                               The parent process is userinit.exe                                                                                                                                    The child process of userinit.exe is explorer.exe   ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe     ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,SamSs                                                Keylso                                                 VaultSvc                                             Eventlog                                                  Task Scheduler,smss.exe executed the Command line :  \SystemRoot\smss.exe                                                                      wininit.exe executed the Command line : wininit.exe                                                                                                 RuntimeBroker executed the Command line : C:\Windows\System32\RuntimeBroker.exe -Embedding                                                                                                                                                                                                         taskhostwexe executed the Command line : taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}                                                                                                                                                                                   winlogon.exe executed the Command line : winlogon.exe                                                                                          csrss.exe executed the Command line : %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024                                                                                                             services.exe executed the Command line : C:\Windows\system32\services.exe                                 svchost.exe executed the Command line : C:\Windows\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                       lsass.exe executed the Command line : C:\Windows\system32\lsass.exe                                                        explorer.exe executed the Command line : C:\Windows\Explorer.EXE    ,Benign
physmem9.raw,Grandcrab.exe,No unique parent and child processes,No unique hidden processes,KERNEL32.dll             USER32.dll                       ole32.dll   ,No unique handles,KERNEL32.dll             USER32.dll                       ole32.dll   ,No unique services,No unique commands run,Fileless
physmem10.raw,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe  ,The parent process is System                                                                                                                                             The child process of System is smss.exe                                                                                                                                                                                                                                                                                    The parent process is smss.exe                                                                                                                                                                          The child process of  smss.exe is wininit.exe                                                                                                          The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is RuntimeBroker.exe                                                                              The parent process is svchost.exe                                                                                                                                                                         The child process of svchost.exe is taskhostw.exe                                                                                                              The parent process is smsss.exe                                                                                                                                                                        The child process of smss.exe is winlogon.exe                                                                                                    The parent process is smss.exe                                                                                                                                       The child process of smss.exe is csrss.exe                                                                                                                 The parent process is service.exe                                                                                                                                   The child process of service.exe is svchost.exe                                                                                                                                                                                                             The parent process is wininit.exe                                                                                                                                       The child process of wininit.exe is lsass.exe                                                                                                               The parent process is userinit.exe                                                                                                                                    The child process of userinit.exe is explorer.exe   ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe     ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,System                                                    smss.exe                                            wininit.exe                                         Runtimebroker.exe                     taskhostw.exe                                 winlogon.exe                                    csrss.exe                                            service.exe                                      svchost.exe                                                                                   lsass.exe                                              explorer.exe     ,ADVAPI32.dll            KERNEL32.dll                               USER32.dll                              ntdll.dll      ,SamSs                                                Keylso                                                 VaultSvc                                             Eventlog                                                  Task Scheduler,smss.exe executed the Command line :  \SystemRoot\smss.exe                                                                      wininit.exe executed the Command line : wininit.exe                                                                                                 RuntimeBroker executed the Command line : C:\Windows\System32\RuntimeBroker.exe -Embedding                                                                                                                                                                                                         taskhostwexe executed the Command line : taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}                                                                                                                                                                                   winlogon.exe executed the Command line : winlogon.exe                                                                                          csrss.exe executed the Command line : %SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024                                                                                                             services.exe executed the Command line : C:\Windows\system32\services.exe                                 svchost.exe executed the Command line : C:\Windows\system32\svchost.exe -k DcomLaunch -p                                                                                                                                                                                       lsass.exe executed the Command line : C:\Windows\system32\lsass.exe                                                        explorer.exe executed the Command line : C:\Windows\Explorer.EXE    ,Benign
